,mean,mean_ci_lower,mean_ci_upper,mean_se,obs_ci_lower,obs_ci_upper
2011-08-31,5861355.0,5609065.0,6113645.0,125262.0,4947208.0,6775502.0
2011-09-30,5907401.0,5663203.0,6151600.0,121244.0,4995454.0,6819349.0
2011-10-31,5953447.0,5717239.0,6189656.0,117277.0,5043607.0,6863288.0
2011-11-30,5999493.0,5771164.0,6227823.0,113365.0,5091667.0,6907320.0
2011-12-31,6045540.0,5824966.0,6266113.0,109514.0,5139632.0,6951447.0
2012-01-31,6091586.0,5878631.0,6304540.0,105732.0,5187503.0,6995668.0
2012-02-29,6137632.0,5932144.0,6343119.0,102024.0,5235279.0,7039984.0
2012-03-31,6183678.0,5985488.0,6381868.0,98401.0,5282959.0,7084397.0
2012-04-30,6229724.0,6038643.0,6420805.0,94871.0,5330543.0,7128905.0
2012-05-31,6275770.0,6091588.0,6459952.0,91446.0,5378030.0,7173511.0
2012-06-30,6321816.0,6144298.0,6499334.0,88137.0,5425419.0,7218213.0
2012-07-31,6367863.0,6196746.0,6538979.0,84959.0,5472711.0,7263014.0
2012-08-31,6413909.0,6248901.0,6578917.0,81926.0,5519905.0,7307912.0
2012-09-30,6459955.0,6300729.0,6619181.0,79056.0,5567000.0,7352909.0
2012-10-31,6506001.0,6352193.0,6659809.0,76365.0,5613996.0,7398005.0
2012-11-30,6552047.0,6403255.0,6700839.0,73875.0,5660894.0,7443200.0
2012-12-31,6598093.0,6453871.0,6742316.0,71606.0,5707691.0,7488495.0
2013-01-31,6644139.0,6503998.0,6784281.0,69580.0,5754389.0,7533889.0
2013-02-28,6690185.0,6553593.0,6826778.0,67818.0,5800988.0,7579383.0
2013-03-31,6736232.0,6602612.0,6869851.0,66342.0,5847486.0,7624978.0
2013-04-30,6782278.0,6651017.0,6913538.0,65171.0,5893883.0,7670672.0
2013-05-31,6828324.0,6698775.0,6957873.0,64321.0,5940181.0,7716467.0
2013-06-30,6874370.0,6745859.0,7002881.0,63806.0,5986378.0,7762362.0
2013-07-31,6920416.0,6792253.0,7048579.0,63633.0,6032474.0,7808358.0
2013-08-31,6966462.0,6837951.0,7094973.0,63806.0,6078470.0,7854455.0
2013-09-30,7012508.0,6882959.0,7142057.0,64321.0,6124365.0,7900651.0
2013-10-31,7058555.0,6927294.0,7189815.0,65171.0,6170160.0,7946949.0
2013-11-30,7104601.0,6970981.0,7238220.0,66342.0,6215855.0,7993347.0
2013-12-31,7150647.0,7014054.0,7287240.0,67818.0,6261449.0,8039845.0
2014-01-31,7196693.0,7056552.0,7336834.0,69580.0,6306943.0,8086443.0
2014-02-28,7242739.0,7098517.0,7386962.0,71606.0,6352337.0,8133141.0
2014-03-31,7288785.0,7139993.0,7437578.0,73875.0,6397632.0,8179939.0
2014-04-30,7334831.0,7181024.0,7488639.0,76365.0,6442827.0,8226836.0
2014-05-31,7380877.0,7221651.0,7540104.0,79056.0,6487923.0,8273832.0
2014-06-30,7426924.0,7261916.0,7591932.0,81926.0,6532920.0,8320927.0
2014-07-31,7472970.0,7301853.0,7644086.0,84959.0,6577818.0,8368121.0
2014-08-31,7519016.0,7341498.0,7696534.0,88137.0,6622619.0,8415413.0
2014-09-30,7565062.0,7380880.0,7749244.0,91446.0,6667321.0,8462803.0
2014-10-31,7611108.0,7420027.0,7802189.0,94871.0,6711927.0,8510289.0
2014-11-30,7657154.0,7458964.0,7855344.0,98401.0,6756435.0,8557873.0
2014-12-31,7703200.0,7497713.0,7908688.0,102024.0,6800848.0,8605553.0
2015-01-31,7749246.0,7536292.0,7962201.0,105732.0,6845164.0,8653329.0
2015-02-28,7795293.0,7574719.0,8015866.0,109514.0,6889385.0,8701200.0
2015-03-31,7841339.0,7613010.0,8069668.0,113365.0,6933512.0,8749165.0
2015-04-30,7887385.0,7651177.0,8123593.0,117277.0,6977545.0,8797225.0
2015-05-31,7933431.0,7689232.0,8177630.0,121244.0,7021484.0,8845378.0
2015-06-30,7979477.0,7727187.0,8231767.0,125262.0,7065330.0,8893624.0
2015-07-31,7979477.0,7727187.0,8231767.0,125262.0,7065330.0,8893624.0
2015-08-31,8025523.0,7765051.0,8285996.0,129324.0,7109084.0,8941963.0
2015-09-30,8071569.0,7802831.0,8340308.0,133428.0,7152747.0,8990392.0
2015-10-31,8117616.0,7840536.0,8394695.0,137570.0,7196319.0,9038913.0
2015-11-30,8163662.0,7878172.0,8449151.0,141745.0,7239800.0,9087523.0
2015-12-31,8209708.0,7915745.0,8503671.0,145952.0,7283193.0,9136222.0
2016-01-31,8255754.0,7953260.0,8558248.0,150188.0,7326497.0,9185011.0
2016-02-29,8301800.0,7990722.0,8612878.0,154450.0,7369714.0,9233886.0
2016-03-31,8347846.0,8028135.0,8667557.0,158736.0,7412843.0,9282849.0
2016-04-30,8393892.0,8065503.0,8722281.0,163045.0,7455887.0,9331898.0
2016-05-31,8439938.0,8102830.0,8777047.0,167374.0,7498845.0,9381032.0
2016-06-30,8485985.0,8140119.0,8831850.0,171722.0,7541719.0,9430251.0
